Student_ID,Gender,Graduation_Year,Branch,CGPA,Tenth_Percentage,Twelfth_Percentage,Backlogs,Internship,Projects,Certifications,Skills,DSA_Score,Technical_Score,Aptitude_Score,Communication_Score,Placement_Status,Company,Job_Role,Package_LPA
STU20240026,Male,2024,CSE,9.65,94.6,76.7,0,Yes,5,4,"Git, JavaScript, DSA, Java, SQL, Python",82.9,98.0,68.4,87.7,Placed,Cognizant,Data Analyst,8.95
STU20240027,Male,2027,IT,7.94,76.9,68.1,0,No,3,0,"MongoDB, JavaScript, DSA, AWS",46.6,90.5,90.5,64.3,Placed,Zoho,Support Engineer,6.87
STU20240028,Male,2024,CSE,6.52,68.4,80.0,3,Yes,1,1,"Java, React, JavaScript, Git, DSA, MongoDB",56.0,81.4,65.0,98.0,Placed,TCS,QA Engineer,3.21
STU20240029,Male,2027,CSE,8.28,75.5,77.4,1,Yes,3,2,"Python, Node.js, React",69.3,81.7,70.9,87.4,Placed,Capgemini,QA Engineer,7.08
STU20240030,Male,2026,EEE,8.68,87.2,82.5,1,Yes,2,2,"Java, Embedded C, Arduino, IoT",83.8,84.3,71.4,72.4,Placed,TCS,Graduate Engineer Trainee,6.97
STU20240031,Male,2026,EEE,7.78,63.6,79.3,1,No,3,1,"Java, AutoCAD, Arduino",67.1,73.8,61.1,69.8,Not Placed,Not Placed,Not Placed,0.0
STU20240032,Female,2026,Civil,6.73,76.6,71.7,2,No,2,1,"C, AutoCAD, Excel, Python, SQL",73.6,78.8,90.7,85.4,Not Placed,Not Placed,Not Placed,0.0
STU20240033,Male,2026,IT,7.06,92.9,81.0,1,Yes,3,1,"Python, Git, AWS, SQL, React",66.4,88.0,63.3,76.9,Placed,Zoho,Support Engineer,5.54
STU20240034,Male,2024,IT,7.12,90.0,77.4,1,Yes,2,2,"Node.js, MongoDB, Python",85.0,61.5,92.6,80.2,Placed,HCLTech,Full Stack Developer,5.73
STU20240035,Male,2027,IT,9.19,85.0,77.6,1,Yes,2,4,"Node.js, Java, Git, JavaScript, DSA",90.4,98.0,66.0,98.0,Placed,Cognizant,QA Engineer,7.33
STU20240036,Male,2027,CSE,7.94,87.1,64.7,6,No,2,3,"Java, MongoDB, C++, Node.js",76.1,81.8,72.0,71.5,Not Placed,Not Placed,Not Placed,0.0
STU20240037,Female,2027,CSE,6.57,83.6,76.4,1,No,2,1,"Node.js, DSA, Python, SQL",74.6,74.9,60.1,43.8,Placed,Capgemini,Data Analyst,6.3
STU20240038,Male,2026,IT,8.23,77.7,68.4,0,No,2,2,"JavaScript, MongoDB, Node.js, React, Java, Git",88.0,75.5,62.5,71.1,Placed,Cognizant,Support Engineer,6.22
STU20240039,Female,2026,CSE,8.12,84.8,79.6,1,No,3,0,"Git, React, C++, DSA, MongoDB",83.8,76.9,70.0,83.1,Placed,Zoho,QA Engineer,7.0
STU20240040,Female,2026,EEE,7.27,88.7,75.2,1,No,1,0,"AutoCAD, Arduino, IoT, Python, MATLAB",75.5,95.8,90.7,72.8,Not Placed,Not Placed,Not Placed,0.0
STU20240041,Male,2024,IT,7.03,66.7,64.5,0,No,2,1,"Python, React, DSA, Git, Java",49.9,74.8,84.9,55.1,Placed,Cognizant,Data Analyst,6.93
STU20240042,Male,2026,Mechanical,6.65,78.7,74.8,1,No,3,0,"SolidWorks, Python, Excel, MATLAB, C",69.5,75.6,66.9,68.0,Not Placed,Not Placed,Not Placed,0.0
STU20240043,Male,2026,EEE,8.57,82.0,79.5,0,Yes,3,2,"Python, MATLAB, SQL",76.0,80.2,56.5,90.8,Placed,HCLTech,Embedded Engineer,6.29
STU20240044,Male,2026,IT,8.11,79.0,78.3,1,No,3,0,"DSA, MongoDB, AWS, JavaScript, React, SQL",95.7,98.0,76.6,52.0,Placed,Cognizant,Data Analyst,5.24
STU20240045,Male,2025,Mechanical,7.96,78.0,77.5,1,No,3,1,"CATIA, C, Python, SQL, C++",77.6,89.0,65.0,48.4,Placed,Tata Motors,Mechanical Engineer,7.17
STU20240046,Female,2025,Mechanical,7.76,79.0,71.4,2,No,2,3,"MATLAB, Excel, SolidWorks",70.7,85.6,58.5,59.0,Not Placed,Not Placed,Not Placed,0.0
STU20240047,Male,2026,IT,8.18,80.7,81.2,0,Yes,4,1,"Git, Java, Node.js",92.9,96.1,81.0,86.8,Placed,Deloitte,Software Developer,7.19
STU20240048,Female,2025,IT,7.5,84.6,70.4,2,No,2,4,"DSA, Node.js, Git",59.3,90.0,53.4,44.4,Not Placed,Not Placed,Not Placed,0.0
STU20240049,Male,2027,EEE,7.48,80.0,67.7,1,No,2,2,"Python, AutoCAD, Embedded C, Java, MATLAB",76.4,80.7,71.3,70.5,Placed,Wipro,Electrical Engineer,4.66
STU20240050,Female,2026,CSE,8.99,79.2,84.0,0,No,3,3,"React, SQL, Java",63.7,92.2,81.8,75.0,Placed,Zoho,Software Developer,7.48
STU20240051,Male,2024,CSE,9.2,75.1,86.4,0,Yes,4,3,"MongoDB, Python, C++",82.4,80.6,85.4,73.0,Placed,Tech Mahindra,Software Developer,6.34
STU20240052,Male,2024,CSE,6.96,72.1,78.0,2,No,1,2,"Python, JavaScript, C++, DSA, MongoDB",66.7,74.6,51.2,51.2,Placed,Zoho,Backend Developer,3.2
STU20240053,Male,2026,Mechanical,7.37,78.3,73.4,0,Yes,2,2,"C, AutoCAD, SQL, C++",94.3,76.8,91.2,74.6,Placed,Bosch,Graduate Engineer Trainee,4.77
STU20240054,Male,2025,EEE,8.36,74.0,64.0,0,No,4,2,"Embedded C, C++, AutoCAD",85.0,93.0,76.9,55.9,Not Placed,Not Placed,Not Placed,0.0
STU20240055,Female,2027,EEE,9.25,87.7,90.3,0,No,4,2,"IoT, C++, Arduino",80.6,92.1,76.7,70.7,Placed,HCLTech,Software Developer,5.88
STU20240056,Male,2024,Mechanical,9.06,83.7,65.8,0,No,3,3,"SQL, SolidWorks, Python, C",86.2,98.0,58.7,58.3,Not Placed,Not Placed,Not Placed,0.0
STU20240057,Male,2024,IT,7.22,84.1,78.6,2,No,2,0,"MongoDB, Java, AWS",93.4,78.1,57.8,73.0,Placed,HCLTech,Data Analyst,6.11
STU20240058,Male,2025,ECE,8.83,75.6,93.6,0,No,2,0,"Embedded C, Python, MATLAB, SQL, Arduino",59.5,76.7,70.3,68.4,Not Placed,Not Placed,Not Placed,0.0
STU20240059,Male,2026,CSE,8.05,72.3,77.8,0,No,3,1,"MongoDB, C++, Python",92.0,98.0,71.5,53.8,Placed,Accenture,Software Developer,6.51
STU20240060,Male,2027,CSE,8.89,88.2,81.0,1,Yes,3,2,"C++, React, Java, Node.js, MongoDB",91.5,87.1,79.6,79.6,Placed,Zoho,Web Developer,7.73
STU20240061,Male,2027,EEE,8.32,79.7,80.1,1,No,2,4,"MATLAB, AutoCAD, IoT, Arduino, SQL, Java",80.2,96.1,68.3,67.2,Placed,TCS,Electrical Engineer,5.64
STU20240062,Male,2026,IT,6.83,73.7,74.8,3,No,1,4,"Python, Java, Node.js, React",67.9,68.5,85.8,72.8,Not Placed,Not Placed,Not Placed,0.0
STU20240063,Male,2027,ECE,8.22,83.4,,0,Yes,4,1,"C++, Git, IoT, C, Java, Python",98.0,94.8,67.6,75.4,Placed,Wipro,Software Developer,5.67
STU20240064,Male,2024,EEE,8.5,83.9,72.0,0,No,2,1,"AutoCAD, Python, IoT, MATLAB, C++",91.1,69.1,76.1,81.0,Placed,Siemens,Graduate Engineer Trainee,7.08
STU20240065,Female,2026,ECE,7.73,68.5,69.1,1,Yes,4,2,"Embedded C, Arduino, MATLAB",71.2,98.0,85.3,79.9,Placed,Bosch,Embedded Engineer,5.89
STU20240066,Male,2027,ECE,7.54,86.5,73.1,3,No,2,1,"Arduino, Embedded C, MATLAB",78.0,87.5,62.6,73.9,Placed,L&T Technology Services,Embedded Engineer,4.26
STU20240067,Male,2025,ECE,6.41,71.2,84.5,0,No,1,0,"Arduino, Java, Git, C++, C",84.5,69.4,47.5,46.2,Not Placed,Not Placed,Not Placed,0.0
STU20240068,Male,2027,IT,8.48,91.1,73.9,3,No,3,1,"React, Git, DSA",91.4,92.6,68.1,63.7,Placed,Accenture,Data Analyst,7.89
STU20240069,Male,2025,CSE,8.18,69.1,80.1,1,Yes,2,1,"Node.js, JavaScript, MongoDB, SQL, Java, C++",84.0,71.2,84.2,41.3,Placed,Zoho,Data Analyst,7.45
STU20240070,Male,2024,IT,7.12,78.0,,1,No,2,0,"Python, Node.js, Git, React, Java, MongoDB",60.0,74.6,69.0,51.0,Placed,HCLTech,Full Stack Developer,5.17
STU20240071,Male,2026,CSE,7.72,76.0,81.3,0,No,2,0,"Git, React, SQL, DSA, Java, Python",98.0,87.0,79.3,81.5,Placed,Capgemini,Software Developer,6.92
STU20240072,Male,2027,IT,8.03,64.2,83.8,1,No,2,2,,88.8,90.9,54.7,62.0,Placed,Infosys,Software Developer,7.0
STU20240073,Male,2025,Mechanical,7.08,80.3,84.0,3,No,1,1,"MATLAB, AutoCAD, Python, SolidWorks",94.3,76.8,47.0,81.2,Not Placed,Not Placed,Not Placed,0.0
STU20240074,Male,2027,CSE,8.0,64.5,78.8,0,No,4,2,"DSA, SQL, Python, Git, Node.js, React",88.6,91.2,79.2,58.1,Placed,Wipro,Backend Developer,6.32
STU20240075,Female,2024,CSE,6.51,72.2,69.4,2,No,1,1,"DSA, Java, Node.js, MongoDB",69.8,84.9,70.2,65.8,Not Placed,Not Placed,Not Placed,0.0
STU20240076,Male,2026,IT,9.05,88.4,80.5,0,Yes,3,3,"JavaScript, MongoDB, Git, React, AWS",80.0,98.0,63.9,73.3,Placed,Zoho,QA Engineer,9.36
STU20240077,Male,2026,IT,7.91,74.1,74.0,1,Yes,3,2,"JavaScript, Node.js, Python",93.8,67.3,56.4,90.1,Placed,Deloitte,Support Engineer,6.83
STU20240078,Male,2024,EEE,6.72,68.5,90.8,3,No,1,0,"SQL, C++, Embedded C, Java, MATLAB",89.1,73.0,64.4,79.5,Not Placed,Not Placed,Not Placed,0.0
STU20240079,Male,2026,ECE,5.66,77.8,66.6,1,No,2,0,"Python, IoT, C++, MATLAB, Java, SQL",80.8,69.5,61.7,61.6,Not Placed,Not Placed,Not Placed,0.0
STU20240080,Female,2026,Mechanical,8.42,77.3,81.1,1,Yes,3,2,"Excel, SQL, C++, AutoCAD",98.0,76.1,57.5,65.6,Not Placed,Not Placed,Not Placed,0.0
STU20240081,Male,2026,EEE,8.12,75.5,66.4,0,No,1,2,"Java, Embedded C, MATLAB, Python",79.7,73.5,71.2,69.8,Placed,HCLTech,Embedded Engineer,5.5
STU20240082,Male,2025,IT,8.08,87.1,77.7,2,No,2,2,"Git, Node.js, DSA, AWS, React",72.9,98.0,53.1,96.2,Placed,Cognizant,Support Engineer,6.21
STU20240083,Male,2024,Mechanical,8.28,70.5,75.3,0,Yes,2,2,"Python, C++, AutoCAD, MATLAB",84.5,79.1,64.5,72.6,Not Placed,Not Placed,Not Placed,0.0
STU20240084,Male,2027,CSE,8.73,76.6,83.3,1,Yes,3,1,"Java, SQL, MongoDB, JavaScript, DSA",95.8,83.9,57.5,61.9,Placed,Zoho,Web Developer,7.96
STU20240085,Female,2026,CSE,8.17,84.5,82.0,0,Yes,2,2,"Python, DSA, React, SQL",77.7,77.9,70.9,62.4,Placed,Capgemini,Web Developer,5.06
STU20240086,Male,2027,CSE,7.78,68.8,85.9,0,Yes,2,2,"C++, Python, Git, SQL, DSA",78.4,88.0,62.4,69.6,Placed,Zoho,Backend Developer,5.36
STU20240087,Female,2026,EEE,7.3,88.7,84.1,1,Yes,3,0,"MATLAB, C, Python, SQL",81.6,81.8,86.4,75.6,Not Placed,Not Placed,Not Placed,0.0
STU20240088,Male,2027,IT,8.26,77.1,76.8,0,No,2,2,,87.2,98.0,76.6,56.9,Placed,HCLTech,Data Analyst,5.14
STU20240089,Female,2024,CSE,9.19,87.1,73.2,0,No,4,1,"SQL, Git, JavaScript",92.6,86.6,59.3,79.2,Placed,Deloitte,Backend Developer,7.44
STU20240090,Male,2026,ECE,7.66,83.3,69.9,2,Yes,4,1,"MATLAB, IoT, Embedded C",85.8,89.5,82.1,63.9,Placed,Tech Mahindra,Software Developer,6.13
STU20240091,Male,2026,CSE,9.26,80.1,82.1,0,Yes,3,2,"SQL, Java, DSA, Git",96.4,73.9,74.1,87.4,Placed,Cognizant,Backend Developer,7.08
STU20240092,Female,2024,EEE,7.97,74.6,77.6,1,No,3,0,"AutoCAD, Arduino, MATLAB, IoT",91.6,68.2,81.4,70.9,Not Placed,Not Placed,Not Placed,0.0
STU20240093,Male,2024,IT,8.22,78.2,79.0,2,No,1,0,"MongoDB, SQL, Git, AWS, Java, JavaScript",72.7,93.9,55.7,63.8,Placed,TCS,Full Stack Developer,5.72
STU20240094,Male,2026,IT,9.8,87.5,77.7,0,No,4,1,"Python, SQL, JavaScript, AWS, Git, Java",72.0,98.0,86.7,35.0,Placed,Cognizant,Data Analyst,9.15
STU20240095,Female,2027,IT,9.3,74.3,90.2,0,No,3,3,"Node.js, SQL, Git",76.5,98.0,98.0,63.6,Placed,Infosys,Data Analyst,7.56
STU20240096,Male,2026,ECE,9.18,72.5,69.5,0,Yes,4,4,"Python, Git, IoT, Arduino, C++, C",96.4,98.0,84.0,72.1,Placed,L&T Technology Services,QA Engineer,9.97
STU20240097,Female,2024,IT,7.22,86.4,70.4,1,No,2,1,"React, MongoDB, Node.js, SQL, JavaScript, Git",67.3,68.3,60.8,68.6,Placed,HCLTech,Full Stack Developer,5.08
STU20240098,Male,2027,CSE,9.8,77.4,73.9,0,Yes,3,3,"Python, C++, DSA",94.7,98.0,93.8,79.1,Placed,Capgemini,Web Developer,8.71
STU20240099,Female,2024,CSE,7.93,80.3,74.9,0,Yes,2,1,"JavaScript, Git, Java, SQL, DSA",79.0,72.3,62.5,67.4,Placed,Accenture,Backend Developer,7.27
STU20240100,Female,2025,Civil,7.31,74.9,83.5,1,No,3,1,"STAAD Pro, C, Python",79.9,84.3,75.2,75.3,Not Placed,Not Placed,Not Placed,0.0
STU20240101,Male,2027,Civil,5.66,71.0,68.3,1,No,1,0,"SQL, Python, Primavera, AutoCAD, Excel, GIS",71.7,95.5,91.5,57.2,Not Placed,Not Placed,Not Placed,0.0
STU20240102,Male,2027,EEE,7.93,87.8,77.1,0,No,1,0,"Arduino, C, Embedded C, IoT, Python",91.4,70.3,63.9,80.2,Not Placed,Not Placed,Not Placed,0.0
STU20240103,Male,2027,CSE,7.08,75.1,78.8,0,No,2,1,"React, JavaScript, MongoDB, Node.js, SQL, Java",75.2,91.9,74.6,80.3,Placed,Zoho,QA Engineer,6.68
STU20240104,Male,2027,Civil,7.85,75.1,73.8,2,No,2,0,"C, Revit, AutoCAD, GIS, Primavera, Excel",66.7,89.9,97.1,72.2,Not Placed,Not Placed,Not Placed,0.0
STU20240105,Female,2026,EEE,6.66,72.8,75.7,4,No,2,1,"C, MATLAB, Embedded C",77.0,71.0,79.1,77.5,Not Placed,Not Placed,Not Placed,0.0
STU20240106,Male,2025,EEE,9.18,77.4,81.5,0,Yes,4,4,"IoT, Python, Arduino, Embedded C, C++",98.0,98.0,85.7,68.7,Placed,HCLTech,Embedded Engineer,6.2
STU20240107,Male,2025,IT,8.37,74.2,69.7,1,No,4,1,"Git, Python, SQL, MongoDB",59.8,78.7,47.6,66.2,Placed,Infosys,Data Analyst,5.98
STU20240108,Male,2027,CSE,9.8,79.0,78.2,0,Yes,5,1,"Git, Java, C++",87.8,96.1,66.4,69.5,Placed,Accenture,Software Developer,9.8
STU20240109,Male,2027,CSE,7.13,87.5,76.7,0,Yes,3,1,"Git, Python, MongoDB",78.5,86.6,79.5,87.9,Placed,Tech Mahindra,Data Analyst,6.79
STU20240110,Female,2025,Civil,8.82,85.0,87.8,1,Yes,4,1,"Python, Revit, STAAD Pro",83.3,89.1,70.9,74.7,Placed,Adani,Design Engineer,6.97
STU20240111,Male,2025,IT,6.37,71.5,81.2,1,No,2,0,"Java, React, Python, Git, MongoDB, SQL",73.5,98.0,58.7,59.2,Placed,Deloitte,Full Stack Developer,6.41
STU20240112,Male,2025,CSE,8.18,85.3,91.8,1,No,2,0,"SQL, JavaScript, Node.js, Java, DSA",73.4,69.3,87.7,67.6,Placed,Zoho,Software Developer,5.09
STU20240113,Female,2025,IT,7.36,65.3,78.3,2,No,1,1,"Git, Java, MongoDB",85.5,94.5,77.7,62.6,Placed,Deloitte,Full Stack Developer,5.35
STU20240114,Female,2027,ECE,7.37,86.1,72.0,5,No,1,3,"Embedded C, Git, Python, Arduino, Java, C++",75.0,59.7,58.5,70.5,Placed,Infosys,Network Engineer,4.13
STU20240115,Male,2024,CSE,7.56,86.0,75.0,0,No,3,0,"Python, SQL, C++, Java",58.7,51.4,79.8,66.4,Placed,Cognizant,Software Developer,7.74
STU20240116,Female,2025,Mechanical,6.77,90.6,72.5,0,Yes,0,2,"C, C++, MATLAB",77.6,76.4,54.2,56.1,Not Placed,Not Placed,Not Placed,0.0
STU20240117,Male,2027,EEE,6.58,81.5,69.9,3,No,1,0,"Embedded C, Arduino, Python",79.9,79.8,45.3,55.5,Not Placed,Not Placed,Not Placed,0.0
STU20240118,Female,2026,EEE,7.27,79.2,77.3,2,No,2,1,"Arduino, Python, Embedded C, SQL, C++",75.9,94.3,72.8,63.9,Not Placed,Not Placed,Not Placed,0.0
STU20240119,Male,2025,IT,8.0,87.0,79.6,1,No,3,1,"DSA, Java, React, MongoDB, Node.js, Python",60.4,98.0,55.5,84.9,Placed,Infosys,Full Stack Developer,6.32
STU20240120,Male,2025,ECE,8.74,75.5,70.4,0,Yes,3,5,"Python, MATLAB, SQL, C++, Git, IoT",97.0,98.0,58.2,50.4,Placed,Bosch,Embedded Engineer,7.19
STU20240121,Male,2024,ECE,8.0,75.2,84.2,1,No,2,2,"SQL, MATLAB, Git",67.7,90.0,58.3,73.2,Not Placed,Not Placed,Not Placed,0.0
STU20240122,Male,2025,ECE,8.74,79.4,65.7,0,No,4,3,"Java, Python, Git",84.4,96.1,76.6,87.7,Placed,Tech Mahindra,Software Developer,6.85
STU20240123,Male,2024,CSE,6.74,84.4,71.6,4,Yes,2,2,"Python, Node.js, SQL, JavaScript, Git, MongoDB",66.8,94.0,76.7,84.6,Placed,Capgemini,Software Developer,3.94
STU20240124,Male,2024,IT,7.53,70.8,83.4,0,No,2,0,"DSA, Git, SQL, Java, Node.js",60.4,66.3,65.8,68.7,Not Placed,Not Placed,Not Placed,0.0
STU20240125,Male,2024,CSE,8.6,72.8,82.5,0,Yes,3,2,"DSA, JavaScript, C++, Node.js, Python",85.6,82.9,58.2,70.3,Placed,Deloitte,Backend Developer,7.39
STU20240126,Male,2025,ECE,8.04,79.8,74.2,0,No,3,1,"Git, SQL, IoT, Arduino, Java, Python",85.1,93.3,57.0,76.7,Placed,Infosys,Software Developer,6.27
STU20240127,Male,2024,IT,7.17,80.9,88.1,0,No,1,4,"Node.js, DSA, SQL, React",74.7,93.9,48.0,87.1,Placed,Infosys,Software Developer,6.61
STU20240128,Male,2027,CSE,8.79,75.1,75.7,0,No,2,0,"Python, MongoDB, DSA, JavaScript",81.4,98.0,83.9,77.6,Placed,Deloitte,QA Engineer,7.0
STU20240129,Female,2024,CSE,7.55,81.6,61.4,2,No,3,1,"React, Java, MongoDB, Node.js",71.3,81.5,57.9,71.2,Not Placed,Not Placed,Not Placed,0.0
STU20240130,Female,2025,ECE,7.09,85.3,,1,No,2,2,"C, SQL, C++",93.1,75.5,70.7,83.5,Not Placed,Not Placed,Not Placed,0.0
STU20240131,Male,2027,CSE,8.41,87.4,65.3,3,Yes,3,2,"C++, MongoDB, Node.js, React",86.8,95.6,49.6,75.1,Placed,Infosys,QA Engineer,6.61
STU20240132,Male,2024,Civil,7.51,79.2,69.5,2,No,1,0,"C, MATLAB, AutoCAD, SQL, Python, STAAD Pro",63.8,66.1,86.0,70.1,Not Placed,Not Placed,Not Placed,0.0
STU20240133,Male,2026,ECE,7.31,75.6,79.1,1,No,2,1,"C++, C, SQL, Python, Arduino, Git",81.8,96.2,68.5,76.6,Not Placed,Not Placed,Not Placed,0.0
STU20240134,Male,2027,IT,7.43,88.7,71.8,2,No,1,2,"JavaScript, DSA, React, Python, AWS, Git",79.0,75.6,48.7,61.3,Placed,Deloitte,Data Analyst,4.74
STU20240135,Female,2026,ECE,6.84,75.2,77.5,1,Yes,2,0,"Python, SQL, Arduino, C, IoT",81.6,72.4,58.9,98.0,Placed,Tech Mahindra,Software Developer,6.12
STU20240136,Male,2024,CSE,7.66,83.7,67.6,2,No,1,1,"Java, C++, Python, React, Git, Node.js",75.4,87.3,72.4,70.9,Placed,Infosys,QA Engineer,5.25
STU20240137,Male,2026,Civil,8.44,92.8,83.8,2,No,3,0,"Python, Revit, STAAD Pro, Excel",77.2,77.4,61.7,66.8,Not Placed,Not Placed,Not Placed,0.0
STU20240138,Male,2026,ECE,7.96,83.7,64.7,1,No,1,2,"IoT, Embedded C, C",60.9,71.8,76.0,79.1,Placed,Wipro,QA Engineer,6.16
STU20240139,Male,2025,Mechanical,8.36,71.9,86.8,0,Yes,3,3,"C++, AutoCAD, Excel, ANSYS, C",77.9,98.0,89.5,86.2,Placed,Mahindra,Production Engineer,5.58
STU20240140,Female,2024,CSE,8.44,70.4,74.5,2,No,2,1,"JavaScript, MongoDB, React, Node.js, Python, Java",62.3,74.8,85.0,60.8,Not Placed,Not Placed,Not Placed,0.0
STU20240141,Male,2024,ECE,7.23,74.0,85.2,1,Yes,3,0,"C++, Arduino, Python, IoT, Embedded C, MATLAB",82.3,81.2,68.0,52.5,Placed,Bosch,Network Engineer,5.04
STU20240142,Male,2027,ECE,6.35,78.8,66.3,1,No,2,0,"Arduino, C++, Embedded C",52.5,73.0,83.4,65.0,Placed,L&T Technology Services,QA Engineer,6.44
STU20240143,Male,2025,Civil,6.71,77.9,86.6,1,No,2,1,"Revit, Primavera, MATLAB",69.3,57.6,68.8,72.4,Not Placed,Not Placed,Not Placed,0.0
STU20240144,Female,2024,ECE,7.18,91.4,67.7,2,No,3,0,"C++, Embedded C, C, Python, Git",87.1,67.9,66.4,60.1,Placed,TCS,Network Engineer,3.14
STU20240145,Male,2026,IT,7.26,79.2,62.0,2,Yes,4,0,"MongoDB, JavaScript, Python, AWS, Git, Java",78.4,83.8,67.1,72.7,Placed,Deloitte,Software Developer,6.04
STU20240146,Female,2027,CSE,8.83,77.8,79.1,1,Yes,4,1,"MongoDB, JavaScript, Node.js",88.4,98.0,75.8,71.5,Placed,Accenture,Data Analyst,7.05
STU20240147,Female,2024,IT,8.73,71.9,87.2,0,Yes,2,5,"Git, AWS, JavaScript, Node.js, SQL, Python",89.0,87.0,79.9,53.4,Placed,Wipro,Data Analyst,6.57
